Emiten,RMSE,MAE,MAPE,Epoch
ADRO,0.008404763335211844,0.006563021434875634,23.034525960810726,24
ADMR,0.01797999105226503,0.015432362731243364,34.441883701310076,27
ITMG,0.009310183306716803,0.005886548559498122,35.84823691226479,24
PTBA,0.007400635639449809,0.006280268894329649,45.97336006779237,22
MEDC,0.0052693258434607475,0.004202050269971183,16.07131304178165,26
AKRA,0.010573302440404341,0.009236352183570612,35.364505716114856,52
